Latitude (decimal degrees):	9.790
Longitude (decimal degrees):	34.820
Elevation (m):	1337
Radiation database:	PVGIS-SARAH2


Slope: 16 deg. (optimum)
Azimuth: -6 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,18.58,1.03,0.0
20190101:0107,0.0,0.0,0.0,18.11,0.97,0.0
20190101:0207,0.0,0.0,0.0,18.18,0.76,0.0
20190101:0307,0.0,0.0,0.0,18.61,0.48,0.0
20190101:0407,0.0,0.0,0.0,18.46,0.0,0.0
20190101:0507,227.51,301.79,14.76,18.63,0.34,0.0
20190101:0607,436.22,568.75,27.61,22.34,0.28,0.0
20190101:0707,587.39,782.54,39.49,24.78,0.83,0.0
20190101:0807,686.6,943.94,49.51,26.75,0.9,0.0
20190101:0907,734.23,1026.35,55.97,28.32,1.1,0.0
20190101:1007,730.91,1022.54,56.72,29.44,1.31,0.0
20190101:1107,611.01,837.21,51.42,30.13,1.38,0.0
20190101:1207,453.89,608.59,42.04,30.35,1.45,0.0
20190101:1307,306.16,408.51,30.5,30.14,1.52,0.0
20190101:1407,236.21,326.18,17.83,29.6,1.72,0.0
20190101:1507,28.9,64.18,4.55,28.6,1.79,0.0
20190101:1607,0.0,0.0,0.0,26.63,1.93,0.0
20190101:1707,0.0,0.0,0.0,24.94,1.86,0.0
20190101:1807,0.0,0.0,0.0,23.74,1.86,0.0
20190101:1907,0.0,0.0,0.0,22.73,1.86,0.0
20190101:2007,0.0,0.0,0.0,21.71,1.72,0.0
20190101:2107,0.0,0.0,0.0,20.75,1.66,0.0
20190101:2207,0.0,0.0,0.0,19.87,1.66,0.0
20190101:2307,0.0,0.0,0.0,19.13,1.66,0.0
20190102:0007,0.0,0.0,0.0,18.7,1.79,0.0
20190102:0107,0.0,0.0,0.0,18.3,1.79,0.0
20190102:0207,0.0,0.0,0.0,17.71,1.59,0.0
20190102:0307,0.0,0.0,0.0,17.11,1.31,0.0
20190102:0407,0.0,0.0,0.0,17.07,1.24,0.0
20190102:0507,203.43,268.72,14.69,18.09,1.1,0.0
20190102:0607,435.38,554.38,27.55,22.0,2.07,0.0
20190102:0707,597.07,769.65,39.45,24.07,2.83,0.0
20190102:0807,690.83,912.43,49.51,26.12,2.9,0.0
20190102:0907,747.09,1006.41,56.03,27.87,2.9,0.0
20190102:1007,741.66,1009.22,56.82,28.98,2.62,0.0
20190102:1107,683.42,927.75,51.55,29.3,2.21,0.0
20190102:1207,489.44,651.24,42.18,29.53,1.93,0.0
20190102:1307,329.79,436.59,30.63,29.34,1.86,0.0
20190102:1407,232.88,319.99,17.95,28.89,1.86,0.0
20190102:1507,30.56,66.62,4.67,27.93,1.59,0.0
20190102:1607,0.0,0.0,0.0,26.46,1.72,0.0
20190102:1707,0.0,0.0,0.0,25.24,1.86,0.0
20190102:1807,0.0,0.0,0.0,24.17,1.72,0.0
20190102:1907,0.0,0.0,0.0,23.25,1.17,0.0
20190102:2007,0.0,0.0,0.0,23.15,0.76,0.0
20190102:2107,0.0,0.0,0.0,22.27,0.97,0.0
20190102:2207,0.0,0.0,0.0,20.66,1.72,0.0
20190102:2307,0.0,0.0,0.0,20.8,2.34,0.0
20190103:0007,0.0,0.0,0.0,20.38,2.69,0.0
20190103:0107,0.0,0.0,0.0,20.21,2.9,0.0
20190103:0207,0.0,0.0,0.0,19.78,2.76,0.0
20190103:0307,0.0,0.0,0.0,19.33,2.55,0.0
20190103:0407,0.0,0.0,0.0,18.96,2.41,0.0
20190103:0507,227.29,299.88,14.62,19.59,2.41,0.0
20190103:0607,448.05,565.89,27.5,21.88,3.03,0.0
20190103:0707,611.31,784.13,39.43,23.94,3.31,0.0
20190103:0807,715.65,942.01,49.52,26.05,3.31,0.0
20190103:0907,764.7,1026.55,56.09,27.78,3.24,0.0
20190103:1007,760.83,1029.12,56.93,29.04,3.17,0.0
20190103:1107,709.94,958.05,51.69,29.8,2.97,0.0
20190103:1207,598.25,796.63,42.32,30.12,2.83,0.0
20190103:1307,450.97,594.06,30.76,29.94,2.83,0.0
20190103:1407,244.88,335.01,18.08,29.24,2.9,0.0
