Latitude (decimal degrees):	9.560
Longitude (decimal degrees):	37.230
Elevation (m):	2228
Radiation database:	PVGIS-SARAH2


Slope: 15 deg. (optimum)
Azimuth: 5 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,16.95,1.1,0.0
20190101:0107,0.0,0.0,0.0,16.46,1.03,0.0
20190101:0207,0.0,0.0,0.0,16.17,0.97,0.0
20190101:0307,0.0,0.0,0.0,15.87,0.9,0.0
20190101:0407,25.4,59.29,3.65,15.52,0.83,0.0
20190101:0507,257.39,338.08,16.97,16.07,0.34,0.0
20190101:0607,467.03,600.2,29.72,18.53,0.28,0.0
20190101:0707,635.35,830.41,41.41,20.23,0.97,0.0
20190101:0807,745.16,992.26,51.03,21.9,1.59,0.0
20190101:0907,787.79,1064.86,56.75,23.15,1.72,0.0
20190101:1007,785.22,1066.14,56.47,24.27,1.79,0.0
20190101:1107,735.78,990.26,50.32,25.03,1.86,0.0
20190101:1207,637.33,841.07,40.46,25.39,2.0,0.0
20190101:1307,473.39,614.82,28.65,25.31,2.0,0.0
20190101:1407,253.96,341.8,15.84,24.73,2.0,0.0
20190101:1507,1.64,9.86,2.49,23.41,1.38,0.0
20190101:1607,0.0,0.0,0.0,21.52,1.03,0.0
20190101:1707,0.0,0.0,0.0,21.04,0.62,0.0
20190101:1807,0.0,0.0,0.0,20.44,0.34,0.0
20190101:1907,0.0,0.0,0.0,20.15,0.48,0.0
20190101:2007,0.0,0.0,0.0,19.59,0.69,0.0
20190101:2107,0.0,0.0,0.0,18.68,0.9,0.0
20190101:2207,0.0,0.0,0.0,17.03,1.03,0.0
20190101:2307,0.0,0.0,0.0,15.95,1.1,0.0
20190102:0007,0.0,0.0,0.0,15.28,1.17,0.0
20190102:0107,0.0,0.0,0.0,14.84,1.17,0.0
20190102:0207,0.0,0.0,0.0,14.44,1.17,0.0
20190102:0307,0.0,0.0,0.0,14.04,1.17,0.0
20190102:0407,17.05,40.49,3.57,13.68,1.17,0.0
20190102:0507,256.89,335.62,16.9,15.34,0.83,0.0
20190102:0607,458.02,588.18,29.67,18.88,0.34,0.0
20190102:0707,605.67,803.03,41.38,20.66,0.21,0.0
20190102:0807,711.51,961.78,51.04,22.22,0.76,0.0
20190102:0907,752.04,1032.08,56.81,23.47,0.9,0.0
20190102:1007,735.54,1007.17,56.58,24.27,1.03,0.0
20190102:1107,686.86,929.41,50.45,24.64,1.1,0.0
20190102:1207,597.47,794.67,40.59,25.03,1.1,0.0
20190102:1307,443.74,579.15,28.78,25.03,1.24,0.0
20190102:1407,230.71,311.88,15.96,24.82,1.38,0.0
20190102:1507,2.93,13.63,2.6,23.63,1.03,0.0
20190102:1607,0.0,0.0,0.0,22.54,0.55,0.0
20190102:1707,0.0,0.0,0.0,21.81,0.07,0.0
20190102:1807,0.0,0.0,0.0,21.05,0.62,0.0
20190102:1907,0.0,0.0,0.0,20.5,0.9,0.0
20190102:2007,0.0,0.0,0.0,19.0,1.03,0.0
20190102:2107,0.0,0.0,0.0,17.77,1.03,0.0
20190102:2207,0.0,0.0,0.0,16.92,0.97,0.0
20190102:2307,0.0,0.0,0.0,16.41,0.97,0.0
20190103:0007,0.0,0.0,0.0,16.02,0.97,0.0
