Latitude (decimal degrees):	11.213
Longitude (decimal degrees):	35.094
Elevation (m):	509
Radiation database:	PVGIS-SARAH2


Slope: 16 deg. (optimum)
Azimuth: 9 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,24.32,1.59,0.0
20190101:0107,0.0,0.0,0.0,23.66,1.52,0.0
20190101:0207,0.0,0.0,0.0,23.04,1.45,0.0
20190101:0307,0.0,0.0,0.0,22.52,1.24,0.0
20190101:0407,0.0,0.0,0.0,22.08,1.1,0.0
20190101:0507,183.68,258.35,14.38,23.21,0.69,0.0
20190101:0607,387.62,513.16,27.09,26.73,0.9,0.0
20190101:0707,540.69,734.53,38.77,29.21,0.69,0.0
20190101:0807,644.3,906.75,48.52,31.51,0.69,0.0
20190101:0907,694.06,996.91,54.68,33.49,0.9,0.0
20190101:1007,704.23,1014.26,55.27,34.99,1.24,0.0
20190101:1107,668.14,951.36,50.05,36.04,1.59,0.0
20190101:1207,572.47,800.47,40.83,36.57,1.66,0.0
20190101:1307,438.22,602.62,29.44,36.66,1.72,0.0
20190101:1407,253.78,356.22,16.88,36.14,1.72,0.0
20190101:1507,7.45,21.32,3.69,35.28,1.52,0.0
20190101:1607,0.0,0.0,0.0,33.71,1.45,0.0
20190101:1707,0.0,0.0,0.0,32.04,1.59,0.0
20190101:1807,0.0,0.0,0.0,30.3,1.66,0.0
20190101:1907,0.0,0.0,0.0,28.62,1.59,0.0
20190101:2007,0.0,0.0,0.0,27.37,1.59,0.0
20190101:2107,0.0,0.0,0.0,26.14,1.79,0.0
20190101:2207,0.0,0.0,0.0,25.57,2.28,0.0
20190101:2307,0.0,0.0,0.0,25.25,2.62,0.0
20190102:0007,0.0,0.0,0.0,24.9,2.48,0.0
20190102:0107,0.0,0.0,0.0,24.35,2.21,0.0
20190102:0207,0.0,0.0,0.0,23.4,1.93,0.0
20190102:0307,0.0,0.0,0.0,22.65,1.59,0.0
20190102:0407,0.0,0.0,0.0,23.07,1.17,0.0
20190102:0507,178.66,253.53,14.32,24.64,0.55,0.0
20190102:0607,386.33,512.92,27.04,27.59,1.03,0.0
20190102:0707,537.91,720.64,38.75,30.04,1.79,0.0
20190102:0807,655.37,901.09,48.53,32.21,2.07,0.0
20190102:0907,706.24,992.2,54.73,34.19,2.14,0.0
20190102:1007,710.93,1002.88,55.37,35.75,2.48,0.0
20190102:1107,676.77,947.47,50.17,36.72,2.83,0.0
20190102:1207,577.04,797.59,40.97,37.09,2.69,0.0
20190102:1307,436.54,597.22,29.57,37.08,2.41,0.0
20190102:1407,253.85,355.85,17.01,36.64,2.28,0.0
20190102:1507,7.44,21.32,3.81,35.56,1.66,0.0
20190102:1607,0.0,0.0,0.0,33.73,1.38,0.0
20190102:1707,0.0,0.0,0.0,31.81,1.59,0.0
20190102:1807,0.0,0.0,0.0,29.93,2.07,0.0
20190102:1907,0.0,0.0,0.0,29.13,2.69,0.0
20190102:2007,0.0,0.0,0.0,28.23,2.76,0.0
20190102:2107,0.0,0.0,0.0,27.48,2.62,0.0
20190102:2207,0.0,0.0,0.0,26.73,2.62,0.0
20190102:2307,0.0,0.0,0.0,26.06,2.62,0.0
20190103:0007,0.0,0.0,0.0,25.27,2.41,0.0
20190103:0107,0.0,0.0,0.0,24.48,2.21,0.0
20190103:0207,0.0,0.0,0.0,23.59,2.07,0.0
20190103:0307,0.0,0.0,0.0,22.78,2.0,0.0
20190103:0407,0.0,0.0,0.0,22.21,1.93,0.0
20190103:0507,181.13,254.37,14.25,23.32,1.72,0.0
20190103:0607,397.26,516.17,26.99,26.98,3.24,0.0
20190103:0707,558.08,727.25,38.72,28.76,3.86,0.0
20190103:0807,673.95,899.33,48.54,30.7,3.79,0.0
20190103:0907,726.03,990.44,54.79,32.58,3.59,0.0
20190103:1007,735.48,1015.32,55.48,34.21,3.52,0.0
20190103:1107,687.95,946.72,50.31,35.44,3.66,0.0
20190103:1207,590.92,803.78,41.11,36.17,3.79,0.0
20190103:1307,453.6,610.94,29.7,36.35,3.93,0.0
