Latitude (decimal degrees):	7.680
Longitude (decimal degrees):	28.050
Elevation (m):	436
Radiation database:	PVGIS-SARAH2


Slope: 12 deg. (optimum)
Azimuth: -2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0006,0.0,0.0,0.0,26.63,2.28,0.0
20190101:0106,0.0,0.0,0.0,26.12,2.14,0.0
20190101:0206,0.0,0.0,0.0,25.68,2.07,0.0
20190101:0306,0.0,0.0,0.0,25.35,2.0,0.0
20190101:0406,0.0,0.0,0.0,24.82,2.0,0.0
20190101:0506,32.46,56.86,9.62,24.78,1.79,0.0
20190101:0606,314.39,415.09,22.88,26.29,1.79,0.0
20190101:0706,495.94,654.55,35.49,28.76,2.07,0.0
20190101:0806,618.67,838.71,46.8,31.32,2.21,0.0
20190101:0906,693.61,963.18,55.51,33.68,2.41,0.0
20190101:1006,709.34,994.71,59.29,35.07,2.55,0.0
20190101:1106,686.97,965.1,56.43,36.23,2.55,0.0
20190101:1206,608.69,846.98,48.26,36.91,2.48,0.0
20190101:1306,472.86,648.27,37.22,37.24,2.55,0.0
20190101:1406,327.35,451.15,24.75,36.37,2.34,0.0
20190101:1506,107.45,169.66,11.56,36.01,2.21,0.0
20190101:1606,0.0,0.0,0.0,34.92,2.0,0.0
20190101:1706,0.0,0.0,0.0,33.6,2.14,0.0
20190101:1806,0.0,0.0,0.0,32.59,2.21,0.0
20190101:1906,0.0,0.0,0.0,31.53,2.0,0.0
20190101:2006,0.0,0.0,0.0,30.79,1.79,0.0
20190101:2106,0.0,0.0,0.0,30.04,1.52,0.0
20190101:2206,0.0,0.0,0.0,29.4,1.31,0.0
20190101:2306,0.0,0.0,0.0,28.54,1.17,0.0
20190102:0006,0.0,0.0,0.0,27.79,0.69,0.0
20190102:0106,0.0,0.0,0.0,27.19,1.24,0.0
20190102:0206,0.0,0.0,0.0,26.88,1.66,0.0
20190102:0306,0.0,0.0,0.0,26.53,1.72,0.0
20190102:0406,0.0,0.0,0.0,26.28,1.66,0.0
20190102:0506,88.3,138.94,9.54,26.26,1.38,0.0
20190102:0606,260.6,349.2,22.82,27.71,1.03,0.0
20190102:0706,475.41,640.29,35.44,31.31,1.38,0.0
20190102:0806,593.61,816.34,46.78,33.93,2.0,0.0
20190102:0906,676.7,946.13,55.54,35.73,2.55,0.0
20190102:1006,664.49,934.71,59.37,37.08,2.69,0.0
20190102:1106,672.14,948.06,56.55,37.52,2.62,0.0
20190102:1206,547.03,758.89,48.4,37.61,2.55,0.0
20190102:1306,476.45,654.54,37.35,37.5,2.48,0.0
20190102:1406,316.83,437.65,24.88,37.06,2.48,0.0
20190102:1506,113.43,179.31,11.68,36.72,2.34,0.0
20190102:1606,0.0,0.0,0.0,35.58,1.59,0.0
20190102:1706,0.0,0.0,0.0,34.23,1.79,0.0
20190102:1806,0.0,0.0,0.0,32.99,1.93,0.0
20190102:1906,0.0,0.0,0.0,31.88,2.0,0.0
20190102:2006,0.0,0.0,0.0,30.96,1.93,0.0
20190102:2106,0.0,0.0,0.0,30.08,2.0,0.0
20190102:2206,0.0,0.0,0.0,29.41,1.93,0.0
20190102:2306,0.0,0.0,0.0,28.78,1.86,0.0
20190103:0006,0.0,0.0,0.0,28.43,2.07,0.0
20190103:0106,0.0,0.0,0.0,28.29,2.34,0.0
20190103:0206,0.0,0.0,0.0,27.99,2.69,0.0
20190103:0306,0.0,0.0,0.0,27.86,2.69,0.0
20190103:0406,0.0,0.0,0.0,27.33,2.55,0.0
20190103:0506,98.33,154.43,9.46,26.96,2.55,0.0
20190103:0606,318.2,421.35,22.75,28.34,3.03,0.0
20190103:0706,507.69,664.81,35.39,29.81,3.52,0.0
20190103:0806,636.6,852.98,46.77,31.93,3.52,0.0
20190103:0906,707.42,969.3,55.57,34.02,3.59,0.0
