Latitude (decimal degrees):	10.140
Longitude (decimal degrees):	38.340
Elevation (m):	1414
Radiation database:	PVGIS-SARAH2


Slope: 14 deg. (optimum)
Azimuth: 11 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0007,0.0,0.0,0.0,20.6,0.83,0.0
20190101:0107,0.0,0.0,0.0,19.53,0.9,0.0
20190101:0207,0.0,0.0,0.0,18.89,0.76,0.0
20190101:0307,0.0,0.0,0.0,18.29,0.62,0.0
20190101:0407,5.36,16.6,4.43,17.79,0.55,0.0
20190101:0507,168.72,225.75,17.68,18.65,0.62,0.0
20190101:0607,469.65,603.6,30.31,21.21,1.31,0.0
20190101:0707,616.38,811.37,41.82,23.44,1.38,0.0
20190101:0807,710.28,962.5,51.13,25.5,1.45,0.0
20190101:0907,760.91,1052.52,56.38,27.19,1.52,0.0
20190101:1007,752.68,1047.27,55.63,28.44,1.52,0.0
20190101:1107,701.97,966.25,49.21,29.25,1.66,0.0
20190101:1207,599.53,809.15,39.24,29.58,1.72,0.0
20190101:1307,439.71,584.05,27.4,29.44,1.72,0.0
20190101:1407,236.11,326.35,14.59,28.84,1.52,0.0
20190101:1507,0.0,0.0,0.0,27.74,0.76,0.0
20190101:1607,0.0,0.0,0.0,26.61,0.48,0.0
20190101:1707,0.0,0.0,0.0,25.44,0.41,0.0
20190101:1807,0.0,0.0,0.0,24.36,0.34,0.0
20190101:1907,0.0,0.0,0.0,23.54,0.21,0.0
20190101:2007,0.0,0.0,0.0,22.65,0.34,0.0
20190101:2107,0.0,0.0,0.0,21.86,0.41,0.0
20190101:2207,0.0,0.0,0.0,21.27,0.48,0.0
20190101:2307,0.0,0.0,0.0,20.8,0.48,0.0
20190102:0007,0.0,0.0,0.0,20.3,0.48,0.0
20190102:0107,0.0,0.0,0.0,20.03,0.41,0.0
20190102:0207,0.0,0.0,0.0,19.46,0.34,0.0
20190102:0307,0.0,0.0,0.0,18.87,0.34,0.0
20190102:0407,11.54,26.36,4.35,18.36,0.34,0.0
20190102:0507,246.42,331.99,17.61,19.28,0.28,0.0
20190102:0607,449.46,581.63,30.26,22.25,1.03,0.0
20190102:0707,597.84,794.13,41.79,24.83,1.1,0.0
20190102:0807,684.58,939.12,51.15,26.67,0.97,0.0
20190102:0907,728.89,1026.74,56.45,28.13,0.76,0.0
20190102:1007,719.46,1022.2,55.74,29.18,0.62,0.0
20190102:1107,667.22,936.17,49.34,29.89,0.69,0.0
20190102:1207,571.94,783.69,39.38,30.21,0.83,0.0
20190102:1307,422.56,567.74,27.53,30.07,0.9,0.0
20190102:1407,222.43,309.83,14.71,29.52,0.9,0.0
20190102:1507,0.0,0.0,0.0,28.5,0.41,0.0
20190102:1607,0.0,0.0,0.0,27.38,0.21,0.0
20190102:1707,0.0,0.0,0.0,26.34,0.21,0.0
20190102:1807,0.0,0.0,0.0,25.49,0.0,0.0
20190102:1907,0.0,0.0,0.0,24.48,0.14,0.0
20190102:2007,0.0,0.0,0.0,23.59,0.28,0.0
20190102:2107,0.0,0.0,0.0,22.84,0.34,0.0
20190102:2207,0.0,0.0,0.0,22.26,0.41,0.0
20190102:2307,0.0,0.0,0.0,21.72,0.48,0.0
20190103:0007,0.0,0.0,0.0,21.16,0.48,0.0
20190103:0107,0.0,0.0,0.0,20.69,0.34,0.0
20190103:0207,0.0,0.0,0.0,20.12,0.21,0.0
20190103:0307,0.0,0.0,0.0,19.55,0.21,0.0
20190103:0407,11.49,26.36,4.27,19.07,0.21,0.0
20190103:0507,237.88,322.12,17.55,20.18,0.21,0.0
20190103:0607,439.24,570.36,30.22,23.26,1.1,0.0
20190103:0707,591.51,784.57,41.77,25.71,1.38,0.0
20190103:0807,688.08,934.55,51.17,27.59,1.66,0.0
20190103:0907,741.36,1023.2,56.52,29.05,1.86,0.0
20190103:1007,733.56,1013.38,55.86,30.13,2.07,0.0
20190103:1107,687.76,941.45,49.48,30.77,2.21,0.0
20190103:1207,581.86,782.28,39.51,30.99,2.28,0.0
20190103:1307,427.1,567.46,27.67,30.77,2.21,0.0
20190103:1407,238.89,331.54,14.84,30.15,1.86,0.0
20190103:1507,0.0,0.0,0.0,29.1,1.17,0.0
20190103:1607,0.0,0.0,0.0,27.08,1.03,0.0
20190103:1707,0.0,0.0,0.0,24.9,1.52,0.0
20190103:1807,0.0,0.0,0.0,22.99,1.93,0.0
20190103:1907,0.0,0.0,0.0,21.82,2.0,0.0
20190103:2007,0.0,0.0,0.0,21.86,1.66,0.0
20190103:2107,0.0,0.0,0.0,22.04,1.45,0.0
20190103:2207,0.0,0.0,0.0,21.82,1.31,0.0
20190103:2307,0.0,0.0,0.0,21.23,1.24,0.0
20190104:0007,0.0,0.0,0.0,20.79,1.24,0.0
20190104:0107,0.0,0.0,0.0,19.96,1.17,0.0
20190104:0207,0.0,0.0,0.0,19.31,1.1,0.0
20190104:0307,0.0,0.0,0.0,18.65,1.03,0.0
20190104:0407,9.62,23.43,4.19,18.06,0.97,0.0
20190104:0507,259.91,348.06,17.48,18.6,0.97,0.0
20190104:0607,469.42,600.27,30.18,21.41,1.86,0.0
20190104:0707,630.88,818.96,41.76,23.54,2.41,0.0
20190104:0807,730.72,969.44,51.2,25.46,2.76,0.0
20190104:0907,782.85,1054.26,56.6,27.1,3.03,0.0
20190104:1007,778.12,1051.21,55.98,28.32,3.24,0.0
20190104:1107,722.58,971.24,49.62,29.42,3.31,0.0
20190104:1207,610.44,809.75,39.65,30.19,3.38,0.0
20190104:1307,449.19,590.74,27.8,30.38,3.38,0.0
20190104:1407,234.95,322.89,14.96,29.77,3.1,0.0
20190104:1507,0.0,0.0,0.0,28.24,2.41,0.0
